Payment Information,Date,Method,Amount,Taxes,Total,Status
27762,2017-12-14 17:59:14+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
27819,2017-12-16 20:02:24+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27934,2017-12-21 00:21:01+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27767,2017-12-14 20:12:42+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27772,2017-12-14 23:42:55+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27874,2017-12-18 17:51:35+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27770,2017-12-14 23:27:49+00:00,POS-DEBIT,150,18,168,ACCEPTED
27774,2017-12-15 00:11:40+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27920,2017-12-20 01:36:54+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27777,2017-12-15 00:27:58+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27816,2017-12-16 17:52:10+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27876,2017-12-18 18:16:21+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27924,2017-12-20 17:36:32+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27951,2017-12-21 18:10:13+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28019,2017-12-24 18:54:23+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28058,2017-12-27 16:45:44+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27780,2017-12-15 01:12:44+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27867,2017-12-18 01:30:30+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27781,2017-12-15 01:16:40+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27847,2017-12-17 20:14:06+00:00,CREDIT CARD,74,8.88,82.88,ACCEPTED
27782,2017-12-15 01:19:25+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27785,2017-12-15 06:19:47+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27801,2017-12-15 20:15:11+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27802,2017-12-15 20:31:24+00:00,CASH,12,1.44,13.44,ACCEPTED
27803,2017-12-15 21:56:27+00:00,CREDIT CARD,79,9.48,88.48,ACCEPTED
27804,2017-12-15 22:47:20+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27880,2017-12-18 20:16:32+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27899,2017-12-19 16:13:01+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27932,2017-12-20 20:32:17+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27946,2017-12-21 16:24:39+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27982,2017-12-22 19:44:53+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27805,2017-12-16 00:09:06+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27872,2017-12-18 16:55:48+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28002,2017-12-23 20:56:51+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
28061,2017-12-27 17:26:45+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28139,2017-12-30 23:54:32+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27813,2017-12-16 03:26:09+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27818,2017-12-16 19:30:41+00:00,POS-CREDIT,150,18,168,ACCEPTED
27822,2017-12-16 20:36:47+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27859,2017-12-17 23:14:20+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27824,2017-12-16 21:11:58+00:00,POS-DEBIT,74,8.88,82.88,ACCEPTED
27827,2017-12-16 22:45:01+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27828,2017-12-16 22:45:31+00:00,CASH,12,1.44,13.44,ACCEPTED
27904,2017-12-19 19:41:01+00:00,FREE SERVICE,12,1.44,13.44,ACCEPTED
27830,2017-12-16 23:22:59+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27914,2017-12-19 23:56:58+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27839,2017-12-17 04:12:22+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27843,2017-12-17 08:17:08+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27845,2017-12-17 18:07:42+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27900,2017-12-19 17:11:22+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27852,2017-12-17 20:53:01+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27856,2017-12-17 22:16:37+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27938,2017-12-21 01:18:30+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27939,2017-12-21 01:18:57+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27993,2017-12-23 01:18:34+00:00,CASH,33,3.96,36.96,ACCEPTED
28046,2017-12-26 20:18:44+00:00,CASH,33,3.96,36.96,ACCEPTED
28093,2017-12-28 15:16:18+00:00,CASH,12,1.44,13.44,ACCEPTED
28158,2017-12-31 23:54:29+00:00,CASH,12,1.44,13.44,ACCEPTED
28159,2017-12-31 23:54:56+00:00,CASH,15,1.8,16.8,ACCEPTED
27857,2017-12-17 23:01:29+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27868,2017-12-18 02:17:36+00:00,CREDIT CARD,15,1.8,16.8,ACCEPTED
27888,2017-12-19 00:09:45+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27870,2017-12-18 14:22:03+00:00,CREDIT CARD,13.5,1.62,15.12,ACCEPTED
27878,2017-12-18 18:59:02+00:00,FREE SERVICE,12,1.44,13.44,ACCEPTED
27881,2017-12-18 20:28:59+00:00,DON,30,3.6,33.6,ACCEPTED
27882,2017-12-18 20:52:59+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27935,2017-12-21 00:34:37+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27979,2017-12-22 19:01:58+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27980,2017-12-22 19:02:23+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27885,2017-12-18 22:48:23+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27922,2017-12-20 03:02:58+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27960,2017-12-22 03:13:38+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27995,2017-12-23 02:00:52+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27889,2017-12-19 00:39:50+00:00,CASH,12,1.44,13.44,ACCEPTED
27890,2017-12-19 00:40:31+00:00,CASH,12,1.44,13.44,ACCEPTED
28056,2017-12-27 02:54:51+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27892,2017-12-19 01:57:06+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27901,2017-12-19 17:45:57+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27902,2017-12-19 17:46:16+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27903,2017-12-19 17:46:34+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
27985,2017-12-22 21:40:37+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27986,2017-12-22 21:41:01+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27908,2017-12-19 21:34:34+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27910,2017-12-19 22:07:53+00:00,DON,74,8.88,82.88,ACCEPTED
27944,2017-12-21 15:25:15+00:00,DON,74,8.88,82.88,ACCEPTED
27911,2017-12-19 22:58:08+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27912,2017-12-19 22:58:27+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27913,2017-12-19 23:22:41+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27918,2017-12-20 01:06:07+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27937,2017-12-21 01:16:34+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27961,2017-12-22 05:33:38+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27921,2017-12-20 02:27:55+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27928,2017-12-20 19:11:31+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27930,2017-12-20 19:54:11+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27936,2017-12-21 00:49:51+00:00,CASH,150,18,168,ACCEPTED
28033,2017-12-25 21:11:40+00:00,FREE SERVICE,12,1.44,13.44,ACCEPTED
27941,2017-12-21 02:40:18+00:00,CASH,12,1.44,13.44,ACCEPTED
27945,2017-12-21 16:17:01+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27974,2017-12-22 17:46:09+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28028,2017-12-25 19:15:18+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28103,2017-12-28 18:50:24+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27942,2017-12-21 04:14:26+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27970,2017-12-22 16:57:12+00:00,CASH,74,8.88,82.88,ACCEPTED
27948,2017-12-21 17:13:14+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27949,2017-12-21 17:13:34+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
28001,2017-12-23 19:20:42+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27950,2017-12-21 17:35:02+00:00,CREDIT CARD,13.5,1.62,15.12,ACCEPTED
27952,2017-12-21 18:49:49+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27957,2017-12-21 22:38:11+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28021,2017-12-24 19:46:58+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28082,2017-12-28 01:04:04+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27962,2017-12-22 05:37:31+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28026,2017-12-25 18:08:33+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28044,2017-12-26 18:48:39+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27963,2017-12-22 06:06:21+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27965,2017-12-22 08:01:16+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27997,2017-12-23 08:10:40+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27966,2017-12-22 15:13:43+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27967,2017-12-22 15:14:08+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27968,2017-12-22 15:14:31+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
27978,2017-12-22 18:46:52+00:00,POS-DEBIT,33,3.96,36.96,ACCEPTED
28034,2017-12-25 21:15:56+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28109,2017-12-28 23:16:42+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28154,2017-12-31 22:03:24+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27983,2017-12-22 19:51:42+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27984,2017-12-22 20:05:41+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27987,2017-12-22 22:20:02+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27988,2017-12-22 22:20:21+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27989,2017-12-22 23:56:40+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28020,2017-12-24 19:29:22+00:00,FREE SERVICE,12,1.44,13.44,ACCEPTED
28053,2017-12-27 01:11:10+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28092,2017-12-28 05:25:53+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27990,2017-12-23 00:08:17+00:00,CREDIT CARD,74,8.88,82.88,ACCEPTED
27991,2017-12-23 00:27:42+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27992,2017-12-23 01:04:53+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27998,2017-12-23 16:04:05+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28031,2017-12-25 20:05:26+00:00,FREE SERVICE,12,1.44,13.44,ACCEPTED
28003,2017-12-23 22:39:48+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28004,2017-12-23 23:09:48+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28066,2017-12-27 19:15:09+00:00,POS-CREDIT,74,8.88,82.88,ACCEPTED
28005,2017-12-23 23:35:17+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28006,2017-12-23 23:48:57+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
28007,2017-12-23 23:49:20+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
28035,2017-12-25 21:25:46+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
28047,2017-12-26 21:12:08+00:00,CASH,12,1.44,13.44,ACCEPTED
28083,2017-12-28 01:05:12+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
28015,2017-12-24 03:21:01+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28016,2017-12-24 06:34:56+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28055,2017-12-27 02:38:06+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28025,2017-12-25 03:21:58+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28029,2017-12-25 19:25:46+00:00,CASH,30,3.6,33.6,ACCEPTED
28104,2017-12-28 18:52:47+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28153,2017-12-31 21:29:29+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28037,2017-12-25 22:18:21+00:00,CREDIT CARD,74,8.88,82.88,ACCEPTED
28038,2017-12-25 22:47:40+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28040,2017-12-26 00:17:15+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28041,2017-12-26 00:27:59+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28111,2017-12-28 23:56:07+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28045,2017-12-26 20:11:25+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28051,2017-12-27 00:22:07+00:00,POS-DEBIT,79,9.48,88.48,ACCEPTED
28052,2017-12-27 00:37:04+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28126,2017-12-30 00:58:18+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28057,2017-12-27 15:13:54+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28059,2017-12-27 17:01:03+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28060,2017-12-27 17:01:16+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
28064,2017-12-27 17:48:05+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28150,2017-12-31 19:09:18+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28065,2017-12-27 18:37:28+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28067,2017-12-27 19:25:50+00:00,CREDIT CARD,13.5,1.62,15.12,ACCEPTED
28069,2017-12-27 21:19:39+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28072,2017-12-27 22:01:08+00:00,POS-CREDIT,155,18.6,173.6,ACCEPTED
28074,2017-12-27 23:10:00+00:00,CREDIT CARD,74,8.88,82.88,ACCEPTED
28075,2017-12-27 23:18:35+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28084,2017-12-28 01:21:49+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28085,2017-12-28 01:38:19+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
28115,2017-12-29 02:37:56+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28128,2017-12-30 03:29:53+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28148,2017-12-31 05:08:06+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28087,2017-12-28 02:51:42+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
28090,2017-12-28 02:58:09+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28146,2017-12-31 03:49:59+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28091,2017-12-28 04:54:23+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28134,2017-12-30 21:21:55+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28101,2017-12-28 18:27:32+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28106,2017-12-28 19:39:34+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28107,2017-12-28 21:00:22+00:00,CASH,12,1.44,13.44,ACCEPTED
28108,2017-12-28 22:54:22+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28110,2017-12-28 23:37:40+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28113,2017-12-29 01:04:54+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28114,2017-12-29 01:10:38+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28116,2017-12-29 07:35:36+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28117,2017-12-29 15:07:15+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28120,2017-12-29 18:45:52+00:00,CREDIT CARD,1.5,0.18,1.68,ACCEPTED
28130,2017-12-30 14:49:08+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28131,2017-12-30 19:04:23+00:00,CREDIT CARD,1.5,0.18,1.68,ACCEPTED
28149,2017-12-31 17:23:24+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28122,2017-12-29 21:39:39+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28124,2017-12-29 23:55:44+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28127,2017-12-30 02:56:25+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28135,2017-12-30 21:44:57+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28136,2017-12-30 21:48:01+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28137,2017-12-30 23:08:53+00:00,CREDIT CARD,150,18,168,ACCEPTED
28140,2017-12-31 00:35:06+00:00,CASH,74,8.88,82.88,ACCEPTED
28142,2017-12-31 00:49:46+00:00,POS-CREDIT,74,8.88,82.88,ACCEPTED
28144,2017-12-31 01:01:20+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28152,2017-12-31 20:43:51+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
28155,2017-12-31 22:21:37+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28156,2017-12-31 22:44:37+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28157,2017-12-31 22:47:33+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
