Date,POS Credit,POS Debit,Self-Activation,Free Service,"Other Methods (Demo, DON, 3rd Party, Transfer)",Total After Taxes,Discount Amount,Total After Taxes and Discount,Refunds,Total After Taxes/Discounts and Refunds,Cash
2017/12/01,$248.99,$0.0,$306.00,$10.00,$0.0,$564.99,$10.00,$554.99,$0.0,$554.99,
2017/12/02,$126.00,$0.0,$395.00,$10.00,$108.00,$639.00,$10.00,$629.00,$0.0,$629.00,
2017/12/03,$154.00,$0.0,$313.00,$29.98,$38.00,$534.98,$29.98,$505.00,$28.00,$477.00,
2017/12/04,$126.00,$0.0,$460.00,$0.0,$0.0,$586.00,$0.00,$586.00,$0.0,$586.00,
2017/12/05,$171.00,$0.0,$326.00,$10.00,$22.00,$529.00,$10.00,$519.00,$0.0,$519.00,
2017/12/06,$136.00,$0.0,$379.00,$30.00,$0.0,$545.00,$30.00,$515.00,$0.0,$515.00,
2017/12/07,$294.00,$0.0,$156.00,$0.0,$28.00,$478.00,$0.00,$478.00,$0.0,$478.00,
2017/12/08,$154.00,$0.0,$233.00,$0.0,$0.0,$387.00,$0.00,$387.00,$0.0,$387.00,
2017/12/09,$206.00,$0.0,$193.00,$14.00,$0.0,$413.00,$14.00,$399.00,$0.0,$399.00,
2017/12/10,$251.00,$0.0,$181.99,$34.00,$0.0,$466.99,$34.00,$432.99,$0.0,$432.99,
2017/12/11,$316.00,$0.0,$337.00,$28.00,$0.0,$681.00,$28.00,$653.00,$0.0,$653.00,
2017/12/12,$121.00,$0.0,$413.98,$0.0,$0.0,$534.98,$0.00,$534.98,$0.0,$534.98,
2017/12/13,$104.00,$0.0,$321.99,$30.00,$0.0,$455.99,$30.00,$425.99,$0.0,$425.99,
2017/12/14,$257.00,$0.0,$473.00,$38.00,$0.0,$768.00,$38.00,$730.00,$0.0,$730.00,
2017/12/15,$84.00,$0.0,$347.00,$10.00,$20.00,$461.00,$10.00,$451.00,$0.0,$451.00,
2017/12/16,$119.00,$0.0,$344.00,$0.0,$0.0,$463.00,$0.00,$463.00,$0.0,$463.00,
2017/12/17,$84.00,$0.0,$350.00,$0.0,$0.0,$434.00,$0.00,$434.00,$0.0,$434.00,
2017/12/18,$185.99,$0.0,$447.00,$52.00,$0.0,$684.99,$52.00,$632.99,$0.0,$632.99,
2017/12/19,$76.00,$0.0,$302.00,$20.00,$0.0,$398.00,$20.00,$378.00,$0.0,$378.00,
2017/12/20,$177.99,$0.0,$240.00,$0.0,$0.0,$417.99,$0.00,$417.99,$0.0,$417.99,
2017/12/21,$139.00,$0.0,$355.99,$38.00,$0.0,$532.99,$38.00,$494.99,$0.0,$494.99,
2017/12/22,$128.00,$0.0,$285.00,$4.99,$0.0,$417.99,$4.99,$413.00,$0.0,$413.00,
2017/12/23,$10.00,$0.0,$282.00,$0.0,$0.0,$292.00,$0.00,$292.00,$0.0,$292.00,
2017/12/24,$129.00,$0.0,$285.00,$0.0,$0.0,$414.00,$0.00,$414.00,$0.0,$414.00,
2017/12/25,$0.0,$0.0,$149.00,$0.0,$0.0,$149.00,$0.00,$149.00,$0.0,$149.00,
2017/12/26,$255.99,$0.0,$428.00,$10.00,$0.0,$693.99,$10.00,$683.99,$0.0,$683.99,
2017/12/27,$184.00,$0.0,$48.00,$10.00,$0.0,$242.00,$10.00,$232.00,$0.0,$232.00,
2017/12/28,$146.00,$0.0,$151.00,$30.00,$0.0,$327.00,$30.00,$297.00,$0.0,$297.00,
2017/12/29,$136.00,$0.0,$429.00,$0.0,$0.0,$565.00,$0.00,$565.00,$0.0,$565.00,
2017/12/30,$28.00,$0.0,$268.00,$0.0,$0.0,$296.00,$0.00,$296.00,$0.0,$296.00,
2017/12/31,$76.00,$0.0,$346.99,$0.0,$0.0,$422.99,$0.00,$422.99,$0.0,$422.99